Este (m);Norte (m);Strike (º);Buz_dir (º);Buzamiento (º);Notas
278314.26;8654049.07;138;228;10;Dato de campo
278370.55;8654053.58;141;231;6;Dato de campo
278213.75;8653999.5;125;215;8;Dato de campo
278252.65;8653963.55;118;208;17;Dato de campo
278322.28;8653991.49;112;202;16;Dato de campo
278354.46;8654003.56;90;180;22;Dato de campo
278401.66;8653950.64;140;230;18;Dato de campo
278324.82;8653950.43;120;210;6;Dato de campo
278404.41;8653918.05;120;210;3;Dato de campo
279429.39;8653905.98;146;236;14;Dato de campo
278437.22;8653878.04;64;154;14;Dato de campo
278363.35;8653856.87;125;215;16;Dato de campo
278407.59;8653832.32;166;256;6;Dato de campo
278378.16;8653748.29;107;197;12;Dato de campo
278415.84;8653733.9;135;225;10;Dato de campo
278474.05;8653772.42;129;219;18;Dato de campo
278503.79;8653749.14;72;162;35;Dato de campo
278506.65;8653724.79;75;165;17;Dato de campo
278433.62;8653710.82;83;173;24;Dato de campo
278600.28;8653900.22;115;205;19;Dato de campo
278624.36;8653884.88;88;178;11;Dato de campo
278487.57;8653902.34;65;155;20;Dato de campo
278477.52;8653953.93;149;239;13;Dato de campo
278587.58;8654010.55;125;215;22;Dato de campo
278596.05;8653980.66;118;208;19;Dato de campo
278639.97;8654046.8;155;245;22;Dato de campo
278660.08;8653999.97;119;209;25;Dato de campo
278635.47;8654083.58;155;245;21;Dato de campo
278550.01;8654114.54;130;220;9;Dato de campo
278572.17;8654128.59;155;245;17;Dato de campo
278802.69;8653987.8;148;238;30;Dato de campo
278759.03;8653995.74;102;192;16;Dato de campo
278761.68;8653952.88;146;236;48;Dato de campo
278742.1;8653939.65;105;195;40;Dato de campo
278818.3;8653946.53;155;245;24;Dato de campo
278852.96;8653878.79;140;230;20;Dato de campo
278767.76;8653841.22;98;188;19;Dato de campo
278728.08;8653819.79;120;210;38;Dato de campo
278918.95;8653772.06;159;249;25;Dato de campo
278957.1;8653818.61;152;242;8;Dato de campo
279146.72;8653317.03;136;226;15;Dato de campo
279208.9;8653310.75;132;222;39;Dato de campo
279263.47;8653300.49;148;238;47;Dato de campo
279238.67;8653240.96;144;234;15;Dato de campo
279229.74;8653205.57;3;93;86;Dato de campo
279308.45;8653178.45;134;224;23;Dato de campo
279230.07;8653124.88;147;237;15;Dato de campo
279317.38;8653103.05;155;245;33;Dato de campo
279371.29;8653010.11;150;240;48;Dato de campo
279415.94;8652946.94;110;200;32;Dato de campo
279418.77;8652890.89;50;140;18;Dato de campo
279471.06;8652839.45;110;200;7;Dato de campo
